编号,片段名,文本,语言,中文,label,音频路径,answer
52001,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_30,620_00_03_32,740_chinesetts.wav",
52002,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_33,380_00_03_35,020_chinesetts.wav",
52003,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_35,420_00_03_38,180_chinesetts.wav",
52004,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_38,420_00_03_40,220_chinesetts.wav",
52005,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_40,740_00_03_42,580_chinesetts.wav",
52006,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_42,900_00_03_45,180_chinesetts.wav",
52007,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_45,820_00_03_47,260_chinesetts.wav",
52008,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_53,220_00_03_55,140_chinesetts.wav",
52009,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_03_59,300_00_04_01,260_chinesetts.wav",
52010,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_01,740_00_04_05,060_chinesetts.wav",
52011,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_05,340_00_04_08,060_chinesetts.wav",
52012,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_08,660_00_04_10,140_chinesetts.wav",
52013,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_16,860_00_04_19,900_chinesetts.wav",
52014,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_20,060_00_04_21,580_chinesetts.wav",
52015,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_21,860_00_04_25,340_chinesetts.wav",
52016,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_26,540_00_04_28,780_chinesetts.wav",
52017,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_28,900_00_04_30,500_chinesetts.wav",
52018,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_30,820_00_04_33,300_chinesetts.wav",
52019,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_34,140_00_04_35,380_chinesetts.wav",
52020,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_37,300_00_04_38,700_chinesetts.wav",
52021,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_40,100_00_04_41,460_chinesetts.wav",
52022,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_42,140_00_04_44,780_chinesetts.wav",
52023,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_45,500_00_04_48,180_chinesetts.wav",
52024,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_48,900_00_04_49,740_chinesetts.wav",
52025,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_50,620_00_04_53,900_chinesetts.wav",
52026,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_54,340_00_04_58,940_chinesetts.wav",
52027,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_04_59,860_00_05_01,820_chinesetts.wav",
52028,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_07,300_00_05_08,340_chinesetts.wav",
52029,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_08,660_00_05_10,220_chinesetts.wav",
52030,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_11,020_00_05_14,140_chinesetts.wav",
52031,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_14,580_00_05_15,740_chinesetts.wav",
52032,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_15,860_00_05_16,900_chinesetts.wav",
52033,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_16,900_00_05_17,620_chinesetts.wav",
52034,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_17,620_00_05_19,180_chinesetts.wav",
52035,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_22,420_00_05_24,060_chinesetts.wav",
52036,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_24,460_00_05_27,820_chinesetts.wav",
52037,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_28,540_00_05_30,020_chinesetts.wav",
52038,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_31,860_00_05_34,420_chinesetts.wav",
52039,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_34,900_00_05_36,420_chinesetts.wav",
52040,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_36,940_00_05_39,980_chinesetts.wav",
